bar_mark,host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,shape_code,shape_description,quantity,single_length_m,total_length_m,total_weight_kg,anchorage_status,lap_status,hook_status,note
DW-S1-001-001,diaphragm_wall,DW-S1-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,901,31.164,28078.764,224358.5,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S1-001-002,diaphragm_wall,DW-S1-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,901,31.164,28078.764,224358.5,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S1-001-003,diaphragm_wall,DW-S1-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,310,94.5,29295.0,58519.16,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S1-001-004,diaphragm_wall,DW-S1-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,62,106.2,6584.4,5845.72,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S2-001-005,diaphragm_wall,DW-S2-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,530,31.164,16516.92,131975.59,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S2-001-006,diaphragm_wall,DW-S2-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,530,31.164,16516.92,131975.59,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S2-001-007,diaphragm_wall,DW-S2-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,310,55.588,17232.296,34422.92,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S2-001-008,diaphragm_wall,DW-S2-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,62,62.47,3873.164,3438.65,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S3-001-009,diaphragm_wall,DW-S3-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,901,31.164,28078.764,224358.5,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S3-001-010,diaphragm_wall,DW-S3-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,901,31.164,28078.764,224358.5,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S3-001-011,diaphragm_wall,DW-S3-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,310,94.5,29295.0,58519.16,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S3-001-012,diaphragm_wall,DW-S3-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,62,106.2,6584.4,5845.72,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S4-001-013,diaphragm_wall,DW-S4-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,530,31.164,16516.92,131975.59,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S4-001-014,diaphragm_wall,DW-S4-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,530,31.164,16516.92,131975.59,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S4-001-015,diaphragm_wall,DW-S4-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,310,55.588,17232.296,34422.92,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S4-001-016,diaphragm_wall,DW-S4-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,62,62.47,3873.164,3438.65,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
SP-L1-1-017,internal_support,SP-L1-1,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-1-018,internal_support,SP-L1-1,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-2-019,internal_support,SP-L1-2,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-2-020,internal_support,SP-L1-2,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-3-021,internal_support,SP-L1-3,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-3-022,internal_support,SP-L1-3,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-4-023,internal_support,SP-L1-4,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-4-024,internal_support,SP-L1-4,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-5-025,internal_support,SP-L1-5,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-5-026,internal_support,SP-L1-5,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-6-027,internal_support,SP-L1-6,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-6-028,internal_support,SP-L1-6,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-7-029,internal_support,SP-L1-7,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-7-030,internal_support,SP-L1-7,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-8-031,internal_support,SP-L1-8,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-8-032,internal_support,SP-L1-8,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-9-033,internal_support,SP-L1-9,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-9-034,internal_support,SP-L1-9,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-10-035,internal_support,SP-L1-10,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-10-036,internal_support,SP-L1-10,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-11-037,internal_support,SP-L1-11,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-11-038,internal_support,SP-L1-11,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-12-039,internal_support,SP-L1-12,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-12-040,internal_support,SP-L1-12,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-13-041,internal_support,SP-L1-13,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-13-042,internal_support,SP-L1-13,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-14-043,internal_support,SP-L1-14,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-14-044,internal_support,SP-L1-14,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-15-045,internal_support,SP-L1-15,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-15-046,internal_support,SP-L1-15,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
SP-L1-16-047,internal_support,SP-L1-16,支撑纵筋,longitudinal,25.0,,00,straight_with_development_length_review,8,59.294,474.351,1827.85,manual_review,manual_review,not_applicable,"RC support longitudinal bars; As=3927mm2, rho=0.15%; concrete=C40; axial-flexure-slenderness requires full check"
SP-L1-16-048,internal_support,SP-L1-16,支撑箍筋,stirrup,12.0,150.0,21,closed_stirrup_with_135deg_hooks,353,6.5,2294.5,2037.09,manual_review,manual_review,manual_review,RC support stirrups; shear and confinement detailing requires professional review
