borehole_code,x,y,collar_elevation,borehole_depth,layer_index,stratum_code,stratum_name,top_depth,bottom_depth,unit_weight,cohesion,friction_angle,elastic_modulus,poisson_ratio,permeability,water_level
BH01,0,0,0,20,1,1,杂填土,0,2,18,8,18,8,0.35,1e-6,1.2
BH01,0,0,0,20,2,2-1,粉质黏土,2,8,19,22,18,12,0.32,5e-7,1.2
BH01,0,0,0,20,3,3-1,粉砂,8,20,20,5,30,25,0.28,1e-5,1.2
BH02,60,0,0.2,22,1,1,杂填土,0,2.5,18.5,7,17,7,0.35,1e-6,1.5
BH02,60,0,0.2,22,2,2-1,粉质黏土,2.5,9,19.2,24,19,13,0.32,5e-7,1.5
BH02,60,0,0.2,22,3,3-1,粉砂,9,22,20.5,6,31,26,0.28,1e-5,1.5
BH03,60,40,-0.1,21,1,1,杂填土,0,1.8,18.2,8,18,8,0.35,1e-6,1.1
BH03,60,40,-0.1,21,2,2-1,粉质黏土,1.8,7.8,19.1,23,18.5,12.5,0.32,5e-7,1.1
BH03,60,40,-0.1,21,3,3-1,粉砂,7.8,21,20.1,5,30.5,25,0.28,1e-5,1.1
BH04,0,40,0.1,20,1,1,杂填土,0,2.2,18.1,8,17.5,8,0.35,1e-6,1.4
BH04,0,40,0.1,20,2,2-1,粉质黏土,2.2,8.2,19.0,22,18,12,0.32,5e-7,1.4
BH04,0,40,0.1,20,3,3-1,粉砂,8.2,20,20.0,5,30,24,0.28,1e-5,1.4
