borehole_code,x,y,collar_elevation,borehole_depth,layer_index,stratum_code,stratum_name,top_depth,bottom_depth,unit_weight,cohesion,friction_angle,elastic_modulus,poisson_ratio,permeability,water_level
BH01,0,0,-0.1,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH01,0,0,-0.1,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH01,0,0,-0.1,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH01,0,0,-0.1,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH01,0,0,-0.1,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH02,100,0,-0.05,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH02,100,0,-0.05,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH02,100,0,-0.05,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH02,100,0,-0.05,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH02,100,0,-0.05,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH03,200,0,0.0,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH03,200,0,0.0,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH03,200,0,0.0,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH03,200,0,0.0,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH03,200,0,0.0,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH04,0,100,-0.05,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH04,0,100,-0.05,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH04,0,100,-0.05,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH04,0,100,-0.05,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH04,0,100,-0.05,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH05,100,100,0.0,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH05,100,100,0.0,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH05,100,100,0.0,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH05,100,100,0.0,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH05,100,100,0.0,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH06,200,100,0.05,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH06,200,100,0.05,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH06,200,100,0.05,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH06,200,100,0.05,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH06,200,100,0.05,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH07,0,200,0.0,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH07,0,200,0.0,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH07,0,200,0.0,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH07,0,200,0.0,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH07,0,200,0.0,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH08,100,200,0.05,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH08,100,200,0.05,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH08,100,200,0.05,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH08,100,200,0.05,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH08,100,200,0.05,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
BH09,200,200,0.1,50,1,1,杂填土,0,3,18,8,18,8,0.35,1e-06,2.0
BH09,200,200,0.1,50,2,2,粉质黏土,3,10,19,24,18,14,0.32,5e-07,2.0
BH09,200,200,0.1,50,3,3,粉砂,10,20,20,5,30,28,0.28,1e-05,2.0
BH09,200,200,0.1,50,4,4,中砂,20,35,20.5,2,34,35,0.27,3e-05,2.0
BH09,200,200,0.1,50,5,5,强风化岩,35,50,22,80,38,80,0.24,1e-07,2.0
