host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,count,grade,status,location_description
diaphragm_wall,DW-S1-001,坑内侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
diaphragm_wall,DW-S1-001,坑外侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
diaphragm_wall,DW-S1-001,水平分布筋,distribution,18.0,180.0,,HRB400,manual_review,horizontal distribution bars; crack/detailing checks require professional review
diaphragm_wall,DW-S1-001,拉结筋/架立筋,tie,12.0,450.0,,HRB400,manual_review,tie bars between reinforcement cages; constructability placeholder
diaphragm_wall,DW-S2-001,坑内侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
diaphragm_wall,DW-S2-001,坑外侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
diaphragm_wall,DW-S2-001,水平分布筋,distribution,18.0,180.0,,HRB400,manual_review,horizontal distribution bars; crack/detailing checks require professional review
diaphragm_wall,DW-S2-001,拉结筋/架立筋,tie,12.0,450.0,,HRB400,manual_review,tie bars between reinforcement cages; constructability placeholder
diaphragm_wall,DW-S3-001,坑内侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
diaphragm_wall,DW-S3-001,坑外侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
diaphragm_wall,DW-S3-001,水平分布筋,distribution,18.0,180.0,,HRB400,manual_review,horizontal distribution bars; crack/detailing checks require professional review
diaphragm_wall,DW-S3-001,拉结筋/架立筋,tie,12.0,450.0,,HRB400,manual_review,tie bars between reinforcement cages; constructability placeholder
diaphragm_wall,DW-S4-001,坑内侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
diaphragm_wall,DW-S4-001,坑外侧竖向主筋,longitudinal,36.0,100.0,,HRB400,fail,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
diaphragm_wall,DW-S4-001,水平分布筋,distribution,18.0,180.0,,HRB400,manual_review,horizontal distribution bars; crack/detailing checks require professional review
diaphragm_wall,DW-S4-001,拉结筋/架立筋,tie,12.0,450.0,,HRB400,manual_review,tie bars between reinforcement cages; constructability placeholder
