bar_mark,host_type,host_code,group_name,bar_type,diameter_mm,spacing_mm,shape_code,shape_description,quantity,single_length_m,total_length_m,total_weight_kg,anchorage_status,lap_status,hook_status,note
DW-S1-001-001,diaphragm_wall,DW-S1-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,721,54.88,39568.48,316165.08,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S1-001-002,diaphragm_wall,DW-S1-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,721,54.88,39568.48,316165.08,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S1-001-003,diaphragm_wall,DW-S1-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,546,75.6,41277.6,82455.38,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S1-001-004,diaphragm_wall,DW-S1-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,109,84.96,9260.64,8221.73,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S2-001-005,diaphragm_wall,DW-S2-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,281,54.88,15421.28,123221.07,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S2-001-006,diaphragm_wall,DW-S2-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,281,54.88,15421.28,123221.07,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S2-001-007,diaphragm_wall,DW-S2-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,546,29.4,16052.4,32065.98,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S2-001-008,diaphragm_wall,DW-S2-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,109,33.04,3601.36,3197.34,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S3-001-009,diaphragm_wall,DW-S3-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,721,54.88,39568.48,316165.08,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S3-001-010,diaphragm_wall,DW-S3-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,721,54.88,39568.48,316165.08,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
DW-S3-001-011,diaphragm_wall,DW-S3-001,水平分布筋,distribution,18.0,180.0,00,straight_distribution_bar,546,75.6,41277.6,82455.38,manual_review,manual_review,not_applicable,horizontal distribution bars; crack/detailing checks require professional review
DW-S3-001-012,diaphragm_wall,DW-S3-001,拉结筋/架立筋,tie,12.0,450.0,31,tie_bar_with_hooks,109,84.96,9260.64,8221.73,manual_review,manual_review,manual_review,tie bars between reinforcement cages; constructability placeholder
DW-S4-001-013,diaphragm_wall,DW-S4-001,坑内侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,281,54.88,15421.28,123221.07,manual_review,manual_review,not_applicable,inner face vertical bars; As_provided=10179mm2/m; As_required=28831mm2/m; GB/T50010 flexure/min-rebar subset
DW-S4-001-014,diaphragm_wall,DW-S4-001,坑外侧竖向主筋,longitudinal,36.0,100.0,00,straight_with_development_length_review,281,54.88,15421.28,123221.07,manual_review,manual_review,not_applicable,outer face vertical bars; symmetric preliminary cage for moment reversal and construction stages
